보관소명,소재지,위도,경도,LCD,QR,설치대수
화랑대역 2번출구 앞,노원구,37.62036896,127.0836411,20,,20
과기대 입구(우),노원구,37.62994003,127.0765533,20,,20
하계2동 공항버스정류장 옆,노원구,37.63510895,127.0683289,10,,10
하계동 중평어린이공원 앞,노원구,37.63714981,127.0632706,20,,20
중계동 하나프라자빌딩 앞(중1-1),노원구,37.64902115,127.0764084,10,,10
중계동 노원구민체육센터 옆(중1-2),노원구,37.64820862,127.070221,10,,10
상계역(4번출구),노원구,37.65999985,127.0729675,20,,20
수락산역 4번출구,노원구,37.67694092,127.0550995,,12,12
노일초등학교 앞,노원구,37.67361832,127.0552521,10,,10
수연빌딩 앞,노원구,37.67625046,127.0555039,,10,10
당고개공원 대여소,노원구,37.66846085,127.0771484,15,,15
상계3.4동 주민센터 대여소,노원구,37.67271042,127.0831604,6,,6
상계주공2단지 버스정류장 옆,노원구,37.64921188,127.0617676,10,,10
KT 전화국 버스정류장 옆,노원구,37.65470123,127.0634003,12,,12
희성오피앙,노원구,37.68031311,127.055069,10,,10
한내근린공원 북측,노원구,37.62386322,127.0684891,,9,9
한내근린공원 남측,노원구,37.62155533,127.0695114,15,,15
서울여대 남문,노원구,37.62531662,127.0881348,7,,7
태릉입구역 8번출구,노원구,37.61736679,127.0752106,10,,10
삼육대 입구,노원구,37.63848877,127.1079025,10,,10
중계근린공원내,노원구,37.63957977,127.0651016,,25,25
상계동 우방유쉘아파트 앞,노원구,37.67237473,127.0559921,20,,20
파르코 앞,노원구,37.68000031,127.0555801,10,,10
노원역1번출구,노원구,37.65620041,127.0636215,10,,10
당고개입구 오거리,노원구,37.66379166,127.0754471,15,,15
공릉1단지아파트,노원구,37.63111115,127.0701599,15,,15
중앙하이츠 아파트 입구,노원구,37.65501785,127.0675049,12,,12
노원구청,노원구,37.65404892,127.0573273,20,,20
중계동 을지중학교,노원구,37.65032959,127.0716019,10,,10
서울시립과학관,노원구,37.64207077,127.076622,8,,8
당현천근린공원,노원구,37.64963913,127.0656052,10,,10
노원역7번출구,노원구,37.65421677,127.0592117,20,,20
동해문화예술관앞,노원구,37.61938095,127.0578537,25,,25
노해근린공원내,노원구,37.64936066,127.0704422,10,,10
양지근린공원앞,노원구,37.64733505,127.0764237,10,,10
노원소방서인근,노원구,37.65578079,127.0717773,10,,10
중계중학교,노원구,37.65449905,127.0743866,10,,10
중계역 6번출구,노원구,37.64550781,127.0632553,10,,10
중계역 3번출구,노원구,37.64352798,127.0652237,9,,9
노원경찰서교차로,노원구,37.64340973,127.0718384,20,,20
인덕대학교,노원구,37.62934875,127.0548248,15,,15
상계동수락리버시티,노원구,37.68859863,127.0534058,15,,15
노원역 5번출구,노원구,37.65397644,127.0609741,16,,16
서울북부고용센터앞,노원구,37.65354919,127.0580826,15,,15
월계문화체육센터,노원구,37.62694168,127.05513,14,,14
육군사관학교 앞,노원구,37.62316513,127.0904999,15,,15
성서대학교 밀알관,노원구,37.6484375,127.0644455,10,,10
삼육대 도서관,노원구,37.6428299,127.1066666,10,,10
삼육대 제3과학관,노원구,37.64265442,127.1083832,10,,10
현대6차 아파트,노원구,37.64580154,127.0822601,12,,12
중계종합사회복지관 교차로,노원구,37.65745544,127.0755463,,13,13
노원문화예술회관,노원구,37.65045929,127.0808868,10,,10
태릉입구역 5번출구,노원구,37.61832047,127.0756302,20,,20
불암고등학교 앞 횡단보도,노원구,37.64818954,127.0804825,8,,8
상계주공10단지 종합상가 앞,노원구,37.66114044,127.0580521,15,,15
마들역 7번출구,노원구,37.66566086,127.0572968,,9,9
마들역 3번출구,노원구,37.66524887,127.0578919,,10,10
도봉운전면허시험장 버스정류장 옆,노원구,37.6577301,127.0593109,10,,10
노원정보도서관,노원구,37.66070938,127.0653305,10,,10
온곡초교 교차로,노원구,37.66418839,127.0660095,10,,10
원자력 병원,노원구,37.62818909,127.0821075,10,,10
수락리버시티4단지,노원구,37.68645096,127.0528336,,10,10
상계주공2단지 219동,노원구,37.65024948,127.0571518,,10,10
